comment_id,comment,language,date,location
95,The water supply in maynila needs improvement. lack of resources,English,3/5/23,Region III
96,I'm frustrated with unresponsive staff at the angeles city. Please fix!,English,6/18/24,Region III
97,The road maintenance in maynila needs improvement. broken infrastructure,English,12/14/23,Region XI
98,Why is water supply always delayed in zamboanga? This is unacceptable.,English,2/24/24,Region XI
99,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,4/23/24,Region IV-A
100,I reported inconsistent schedules weeks ago but no action taken. Disappointed.,English,11/5/24,Region VII
101,Public health center in maynila is severely lacking. long queues,English,11/3/23,Region III
102,I'm frustrated with unresponsive staff at the cebu city. Please fix!,English,5/27/24,Region XI
103,The transport system in cagayan de oro needs improvement. long queues,English,2/25/24,Region IV-A
104,Great job on the road repairs! Our community appreciates the effort.,English,4/27/23,Region III
105,Public disaster response in iloilo city is severely lacking. poor communication,English,9/8/24,Region XI
106,"Bahala na attitude ng iba, pero salamat sa business support!",Taglish,4/11/24,Region III
107,Lgu services in naga city have improved significantly this year.,English,4/24/24,Region VII
108,Why is waste management always delayed in iloilo city? This is unacceptable.,English,11/21/24,NCR
109,The new road in bacolod has made a huge difference!,English,8/2/23,Region III
110,Thank you lgu for the ayuda distribution! Our barangay is safer now,English,12/19/24,Region III
111,Lgu services in davao city have improved significantly this year.,English,7/22/24,Region VII
112,Why is public market always delayed in angeles city? This is unacceptable.,English,1/4/24,NCR
113,I reported inconsistent schedules weeks ago but no action taken. Disappointed.,English,11/19/24,NCR
114,I'm frustrated with poor communication at the cagayan de oro. Please fix!,English,2/27/24,Region IV-A
115,Lgu services in maynila have improved significantly this year.,English,2/23/24,NCR
116,Thank you lgu for the ayuda distribution! Children have better access to services,English,9/5/23,Region VII
117,I reported broken infrastructure weeks ago but no action taken. Disappointed.,English,10/22/24,Region VII
118,I reported poor communication weeks ago but no action taken. Disappointed.,English,5/23/23,Region IV-A
119,Public waste management in angeles city is severely lacking. inconsistent schedules,English,8/14/23,Region XI
120,"Bahala na attitude ng iba, pero salamat sa business support!",Taglish,4/23/24,NCR
121,Thank you lgu for the health services! Our barangay is safer now,English,12/17/24,Region IV-A
122,The new road in naga city has made a huge difference!,English,7/22/24,Region VII
123,Nakakalungkot po ang condition ng public market sa angeles city,Taglish,7/26/24,Region VII
124,I'm frustrated with lack of resources at the maynila. Please fix!,English,5/2/23,Region IV-A
125,Thank you lgu for the community programs! Our barangay is safer now,English,8/22/24,NCR
126,Gutom ang mga bata sa barangay namin. Tulong po sa poor communication!,Taglish,6/19/24,Region III
127,Thank you lgu for the health services! Small businesses can thrive,English,6/27/24,Region IV-A
128,I reported inconsistent schedules weeks ago but no action taken. Disappointed.,English,6/23/23,Region IV-A
129,I'm frustrated with broken infrastructure at the cagayan de oro. Please fix!,English,1/15/24,Region III
130,I reported broken infrastructure weeks ago but no action taken. Disappointed.,English,2/13/24,Region XI
131,Gutom ang mga bata sa barangay namin. Tulong po sa long queues!,Taglish,12/14/24,Region VII
132,Why is water supply always delayed in davao city? This is unacceptable.,English,9/7/24,Region IV-A
133,I'm frustrated with lack of resources at the bacolod. Please fix!,English,5/18/23,Region VII
134,Lgu services in cagayan de oro have improved significantly this year.,English,11/9/24,Region IV-A
135,Nakakalungkot po ang condition ng barangay hall sa iloilo city,Taglish,4/7/23,NCR
136,Lgu services in davao city have improved significantly this year.,English,3/9/24,Region VII
137,"Bahala na attitude ng iba, pero salamat sa ayuda distribution!",Taglish,12/29/24,Region IV-A
138,I'm frustrated with lack of resources at the iloilo city. Please fix!,English,7/22/24,Region III
139,Why is water supply always delayed in iloilo city? This is unacceptable.,English,1/23/23,Region IV-A
140,The transport system staff were very helpful during my visit to bacolod.,English,5/14/24,Region IV-A
141,Why is road maintenance always delayed in zamboanga? This is unacceptable.,English,9/23/23,Region III
142,Thank you lgu for the road repairs! Our barangay is safer now,English,2/22/23,Region VII
143,Public road maintenance in davao city is severely lacking. lack of resources,English,5/2/23,Region XI
144,Great job on the community programs! Our community appreciates the effort.,English,4/13/23,Region VII
145,Public road maintenance in angeles city is severely lacking. unresponsive staff,English,3/19/23,Region III
146,Jeepney shortage every weekends. Fix po sa transport system!,Taglish,3/13/23,Region VII
147,Why is disaster response always delayed in maynila? This is unacceptable.,English,5/5/23,Region III
148,The barangay hall services staff were very helpful during my visit to maynila.,English,8/13/24,Region IV-A
149,Mas maganda na ang public market ngayon sa maynila. Salamat lgu!,Taglish,8/2/23,Region III
150,Great job on the ayuda distribution! Our community appreciates the effort.,English,6/21/23,Region IV-A
151,Bakit po ang tagal ng public market sa angeles city? Nakakainis na!,Taglish,3/19/24,Region VII
152,The disaster response in maynila needs improvement. delayed response,English,6/24/23,Region III
153,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,10/24/23,Region VII
154,Public disaster response in maynila is severely lacking. poor communication,English,11/27/23,Region IV-A
155,Public public market in zamboanga is severely lacking. broken infrastructure,English,6/18/24,Region III
156,The public market staff were very helpful during my visit to baguio.,English,1/2/24,NCR
157,Great job on the disaster preparedness! Our community appreciates the effort.,English,5/6/24,Region VII
158,"Bahala na attitude ng iba, pero salamat sa road repairs!",Taglish,11/3/24,Region III
159,Great job on the disaster preparedness! Our community appreciates the effort.,English,4/8/23,Region IV-A
160,I'm frustrated with long queues at the iloilo city. Please fix!,English,2/26/23,Region VII
161,The new evacuation center in angeles city has made a huge difference!,English,4/7/24,Region VII
162,Why is disaster response always delayed in angeles city? This is unacceptable.,English,3/29/23,NCR
163,Lgu services in angeles city have improved significantly this year.,English,2/24/23,NCR
164,Why is business permit processing always delayed in iloilo city? This is unacceptable.,English,5/20/24,Region III
165,The new health center in davao city has made a huge difference!,English,10/16/23,NCR
166,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,12/1/24,Region IV-A
167,Public business permit processing in angeles city is severely lacking. long queues,English,3/12/24,Region III
168,The public market staff were very helpful during my visit to davao city.,English,6/27/23,Region III
169,Lgu services in cagayan de oro have improved significantly this year.,English,8/19/23,Region IV-A
170,Ang hirap po ng disaster response dito sa iloilo city 😭 delayed response,Taglish,12/21/24,Region XI
171,The new health center in iloilo city has made a huge difference!,English,7/22/24,Region XI
172,Salamat po sa disaster preparedness! Sobrang laking tulong 👍,Taglish,8/29/23,Region XI
173,Ang hirap po ng public market dito sa bacolod 😭 broken infrastructure,Taglish,12/16/24,Region VII
174,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,8/11/23,Region IV-A
175,Mas maganda na ang transport system ngayon sa davao city. Salamat lgu!,Taglish,11/12/24,NCR
176,I'm frustrated with broken infrastructure at the baguio. Please fix!,English,12/30/24,Region XI
177,Sana all may business support! Pero kulang pa rin 😔,Taglish,12/4/24,Region III
178,Public road maintenance in zamboanga is severely lacking. broken infrastructure,English,2/16/24,NCR
179,The new health center in maynila has made a huge difference!,English,4/11/24,Region XI
180,Nakakalungkot po ang condition ng road sa cagayan de oro,Taglish,8/25/24,Region VII
181,Jeepney shortage every weekends. Fix po sa transport system!,Taglish,6/26/24,NCR
182,I reported poor communication weeks ago but no action taken. Disappointed.,English,8/23/24,Region VII
183,Great job on the business support! Our community appreciates the effort.,English,11/9/23,Region VII
184,Nakakalungkot po ang condition ng evacuation center sa baguio,Taglish,5/25/23,Region XI
185,The evacuation center staff were very helpful during my visit to cebu city.,English,9/20/23,NCR
186,The new evacuation center in iloilo city has made a huge difference!,English,4/29/23,Region III
187,Public business permit processing in zamboanga is severely lacking. long queues,English,5/12/24,Region VII
188,The new road in cebu city has made a huge difference!,English,10/21/24,Region VII
189,Thank you lgu for the ayuda distribution! Our barangay is safer now,English,3/1/23,Region IV-A
190,Nakakalungkot po ang condition ng public market sa maynila,Taglish,9/14/24,NCR
191,Lgu services in baguio have improved significantly this year.,English,1/19/24,Region IV-A
192,I reported long queues weeks ago but no action taken. Disappointed.,English,8/30/24,Region III
193,I reported inconsistent schedules weeks ago but no action taken. Disappointed.,English,4/7/24,Region XI
194,Bakit po ang tagal ng road maintenance sa davao city? Nakakainis na!,Taglish,6/28/24,Region III
195,The water supply staff were very helpful during my visit to naga city.,English,9/28/23,Region IV-A
196,I reported broken infrastructure weeks ago but no action taken. Disappointed.,English,10/28/24,NCR
197,The waste management staff were very helpful during my visit to maynila.,English,11/22/24,NCR
198,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,7/18/23,Region III
199,Why is health center always delayed in zamboanga? This is unacceptable.,English,11/21/24,Region III
200,I'm frustrated with inconsistent schedules at the davao city. Please fix!,English,11/9/24,Region XI
201,Mas maganda na ang barangay hall services ngayon sa baguio. Salamat lgu!,Taglish,8/9/24,Region III
202,I'm frustrated with delayed response at the cebu city. Please fix!,English,1/23/23,Region VII
203,The new road in zamboanga has made a huge difference!,English,8/14/23,Region VII
204,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,1/15/23,Region XI
205,The health center staff were very helpful during my visit to naga city.,English,5/8/24,NCR
206,Lgu services in bacolod have improved significantly this year.,English,8/30/24,NCR
207,I reported inconsistent schedules weeks ago but no action taken. Disappointed.,English,5/23/23,Region III
208,Public evacuation center in angeles city is severely lacking. unresponsive staff,English,7/22/23,Region IV-A
209,Why is transport system always delayed in maynila? This is unacceptable.,English,9/29/24,Region XI
210,I reported inconsistent schedules weeks ago but no action taken. Disappointed.,English,8/5/24,Region XI
211,The water supply staff were very helpful during my visit to iloilo city.,English,3/20/24,NCR
212,The public market staff were very helpful during my visit to naga city.,English,1/23/24,NCR
213,Sana all may disaster preparedness! Pero kulang pa rin 😔,Taglish,10/3/24,Region III
214,The barangay hall services staff were very helpful during my visit to cagayan de oro.,English,6/19/24,Region XI
215,Why is waste management always delayed in cebu city? This is unacceptable.,English,7/30/24,Region IV-A
216,Thank you lgu for the road repairs! Our barangay is safer now,English,10/23/24,Region III
217,I'm frustrated with broken infrastructure at the davao city. Please fix!,English,3/16/24,Region IV-A
218,Public evacuation center in maynila is severely lacking. poor communication,English,8/17/24,Region XI
219,Thank you lgu for the ayuda distribution! This helps our family survive,English,10/17/23,Region VII
220,Mas maganda na ang business permit processing ngayon sa baguio. Salamat lgu!,Taglish,5/18/23,Region IV-A
221,Sana all may road repairs! Pero kulang pa rin 😔,Taglish,4/17/24,Region VII
222,Public business permit processing in baguio is severely lacking. poor communication,English,7/8/23,Region III
223,Why is business permit processing always delayed in cagayan de oro? This is unacceptable.,English,7/8/23,NCR
224,Lgu services in bacolod have improved significantly this year.,English,7/18/24,Region VII
225,The new road in baguio has made a huge difference!,English,1/19/24,Region III
226,I reported delayed response weeks ago but no action taken. Disappointed.,English,12/26/24,NCR
227,Thank you lgu for the health services! This helps our family survive,English,2/6/23,Region III
228,Ang hirap po ng waste management dito sa zamboanga 😭 delayed response,Taglish,2/9/24,Region XI
229,Great job on the community programs! Our community appreciates the effort.,English,10/19/24,Region III
230,I reported delayed response weeks ago but no action taken. Disappointed.,English,9/5/24,Region IV-A
231,Why is water supply always delayed in bacolod? This is unacceptable.,English,8/26/23,Region VII
232,Public water supply in baguio is severely lacking. long queues,English,2/4/24,Region VII
233,Sana all may business support! Pero kulang pa rin 😔,Taglish,6/10/24,Region IV-A
234,Gutom ang mga bata sa barangay namin. Tulong po sa lack of resources!,Taglish,6/18/24,Region VII
235,I'm frustrated with inconsistent schedules at the maynila. Please fix!,English,12/24/23,Region III
236,The new road in naga city has made a huge difference!,English,1/17/24,Region III
237,Lgu services in davao city have improved significantly this year.,English,1/17/23,Region IV-A
238,Great job on the business support! Our community appreciates the effort.,English,1/4/24,Region VII
239,Public waste management in naga city is severely lacking. long queues,English,7/24/24,Region III
240,Lgu services in cebu city have improved significantly this year.,English,5/27/24,Region VII
241,Why is waste management always delayed in naga city? This is unacceptable.,English,3/7/24,NCR
242,Salamat po sa ayuda distribution! Sobrang laking tulong 👍,Taglish,10/16/24,Region VII
243,The barangay hall services in davao city needs improvement. inconsistent schedules,English,12/16/23,Region XI
244,The health center in angeles city needs improvement. inconsistent schedules,English,1/23/24,Region VII
245,The disaster response in baguio needs improvement. broken infrastructure,English,12/24/24,Region VII
246,The transport system staff were very helpful during my visit to naga city.,English,2/12/24,Region XI
247,"Bahala na attitude ng iba, pero salamat sa community programs!",Taglish,8/10/23,Region XI
248,Why is barangay hall services always delayed in maynila? This is unacceptable.,English,5/23/24,Region III
249,Mas maganda na ang road maintenance ngayon sa maynila. Salamat lgu!,Taglish,10/1/24,Region III
250,Bakit po ang tagal ng business permit processing sa bacolod? Nakakainis na!,Taglish,1/15/23,NCR
251,Thank you lgu for the business support! Children have better access to services,English,7/9/23,Region VII
252,Thank you lgu for the community programs! Our barangay is safer now,English,6/16/24,Region VII
253,I reported inconsistent schedules weeks ago but no action taken. Disappointed.,English,7/4/24,Region III
254,The public market staff were very helpful during my visit to cagayan de oro.,English,2/2/24,NCR
255,Salamat po sa road repairs! Sobrang laking tulong 👍,Taglish,8/3/23,Region III
256,Great job on the road repairs! Our community appreciates the effort.,English,7/24/24,Region VII
257,I'm frustrated with inconsistent schedules at the iloilo city. Please fix!,English,3/28/24,Region IV-A
258,"Bahala na attitude ng iba, pero salamat sa disaster preparedness!",Taglish,11/21/24,NCR
259,Why is water supply always delayed in maynila? This is unacceptable.,English,8/7/24,Region III
260,The new evacuation center in bacolod has made a huge difference!,English,3/2/24,NCR
261,Nakakalungkot po ang condition ng barangay hall sa cebu city,Taglish,10/19/24,NCR
262,Public health center in baguio is severely lacking. delayed response,English,12/10/23,Region IV-A
263,The new road in bacolod has made a huge difference!,English,9/23/23,NCR
264,Bakit po ang tagal ng water supply sa cebu city? Nakakainis na!,Taglish,7/1/24,NCR
265,Thank you lgu for the road repairs! This helps our family survive,English,8/14/23,NCR
266,I'm frustrated with long queues at the bacolod. Please fix!,English,10/23/24,Region III
267,Jeepney shortage every weekends. Fix po sa transport system!,Taglish,1/19/23,Region IV-A
268,Thank you lgu for the road repairs! This helps our family survive,English,6/28/23,Region XI
269,Thank you lgu for the health services! Children have better access to services,English,3/5/24,NCR
270,Ang hirap po ng water supply dito sa cebu city 😭 long queues,Taglish,4/11/24,Region XI
271,Gutom ang mga bata sa barangay namin. Tulong po sa lack of resources!,Taglish,12/5/24,Region III
272,I reported poor communication weeks ago but no action taken. Disappointed.,English,8/2/24,Region IV-A
273,Thank you lgu for the disaster preparedness! This helps our family survive,English,11/26/24,Region VII
274,Lgu services in cagayan de oro have improved significantly this year.,English,6/2/23,Region XI
275,Why is water supply always delayed in naga city? This is unacceptable.,English,2/16/23,Region IV-A
276,Why is disaster response always delayed in cagayan de oro? This is unacceptable.,English,1/14/23,Region IV-A
277,The road maintenance in naga city needs improvement. delayed response,English,7/18/23,Region VII
278,Thank you lgu for the community programs! Small businesses can thrive,English,2/13/24,Region IV-A
279,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,1/25/23,Region XI
280,The evacuation center in naga city needs improvement. unresponsive staff,English,7/22/24,Region IV-A
281,Great job on the disaster preparedness! Our community appreciates the effort.,English,10/21/23,NCR
282,Public disaster response in baguio is severely lacking. long queues,English,3/24/24,Region III
283,I reported poor communication weeks ago but no action taken. Disappointed.,English,4/28/23,Region VII
284,Great job on the business support! Our community appreciates the effort.,English,1/5/23,NCR
285,The public market staff were very helpful during my visit to naga city.,English,10/29/23,Region XI
286,Public health center in cebu city is severely lacking. unresponsive staff,English,6/5/24,Region III
287,Thank you lgu for the business support! Small businesses can thrive,English,11/19/24,NCR
288,Thank you lgu for the road repairs! Our barangay is safer now,English,10/19/24,Region XI
289,The transport system staff were very helpful during my visit to baguio.,English,3/1/24,Region VII
290,Why is disaster response always delayed in davao city? This is unacceptable.,English,11/22/23,NCR
291,Bakit po ang tagal ng water supply sa iloilo city? Nakakainis na!,Taglish,11/29/23,Region XI
292,Salamat po sa health services! Sobrang laking tulong 👍,Taglish,2/12/24,NCR
293,Great job on the business support! Our community appreciates the effort.,English,6/11/23,Region IV-A
294,The waste management staff were very helpful during my visit to zamboanga.,English,4/16/24,Region IV-A
295,Why is road maintenance always delayed in bacolod? This is unacceptable.,English,5/31/24,Region IV-A
296,Thank you lgu for the disaster preparedness! Our barangay is safer now,English,5/9/24,Region III
297,The waste management staff were very helpful during my visit to davao city.,English,4/23/24,Region IV-A
298,The barangay hall services in davao city needs improvement. delayed response,English,8/26/23,Region VII
299,The new public market in zamboanga has made a huge difference!,English,3/13/24,NCR
300,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,2/7/24,NCR
301,I reported delayed response weeks ago but no action taken. Disappointed.,English,6/7/23,Region III
302,Sana all may ayuda distribution! Pero kulang pa rin 😔,Taglish,12/5/23,Region XI
303,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,3/29/24,Region IV-A
304,Thank you lgu for the business support! Our barangay is safer now,English,1/5/23,Region IV-A
305,Public barangay hall services in maynila is severely lacking. lack of resources,English,1/11/24,Region VII
306,The barangay hall services staff were very helpful during my visit to iloilo city.,English,8/30/24,Region III
307,Thank you lgu for the community programs! This helps our family survive,English,12/20/24,NCR
308,I'm frustrated with broken infrastructure at the cebu city. Please fix!,English,2/4/24,Region VII
309,Great job on the community programs! Our community appreciates the effort.,English,1/29/24,Region III
310,Gutom ang mga bata sa barangay namin. Tulong po sa broken infrastructure!,Taglish,6/12/23,Region IV-A
311,Mas maganda na ang barangay hall services ngayon sa davao city. Salamat lgu!,Taglish,8/10/24,Region III
312,Sana all may health services! Pero kulang pa rin 😔,Taglish,7/13/23,Region III
313,Great job on the disaster preparedness! Our community appreciates the effort.,English,10/25/23,Region VII
314,Thank you lgu for the community programs! Small businesses can thrive,English,7/9/23,Region IV-A
315,I'm frustrated with lack of resources at the baguio. Please fix!,English,6/22/24,Region IV-A
316,I reported delayed response weeks ago but no action taken. Disappointed.,English,2/4/24,Region III
317,Lgu services in bacolod have improved significantly this year.,English,1/24/23,NCR
318,Why is disaster response always delayed in iloilo city? This is unacceptable.,English,4/2/24,Region III
319,Nakakalungkot po ang condition ng health center sa baguio,Taglish,1/15/23,Region XI
320,The new evacuation center in davao city has made a huge difference!,English,5/5/23,NCR
321,The public market staff were very helpful during my visit to angeles city.,English,11/12/24,Region III
322,Public disaster response in angeles city is severely lacking. broken infrastructure,English,2/19/24,Region XI
323,I'm frustrated with unresponsive staff at the cebu city. Please fix!,English,5/1/23,Region VII
324,I'm frustrated with long queues at the naga city. Please fix!,English,11/9/23,Region IV-A
325,Why is road maintenance always delayed in angeles city? This is unacceptable.,English,12/9/24,Region XI
326,Mas maganda na ang road maintenance ngayon sa bacolod. Salamat lgu!,Taglish,1/16/24,Region III
327,I'm frustrated with unresponsive staff at the cebu city. Please fix!,English,6/25/24,Region XI
328,Sana all may business support! Pero kulang pa rin 😔,Taglish,11/20/24,Region III
329,Gutom ang mga bata sa barangay namin. Tulong po sa inconsistent schedules!,Taglish,7/25/24,NCR
330,The waste management in cagayan de oro needs improvement. inconsistent schedules,English,1/22/23,NCR
331,Maraming salamat sa lgu! Nakatulong kayo sa aming pamilya 🙏,Taglish,8/17/24,Region XI
332,"Bahala na attitude ng iba, pero salamat sa health services!",Taglish,3/3/24,NCR
333,I reported delayed response weeks ago but no action taken. Disappointed.,English,2/13/24,Region IV-A
334,Mas maganda na ang transport system ngayon sa bacolod. Salamat lgu!,Taglish,8/20/23,Region XI
335,I'm frustrated with inconsistent schedules at the naga city. Please fix!,English,5/13/24,Region XI
336,Jeepney shortage every weekends. Fix po sa transport system!,Taglish,6/26/24,Region IV-A
337,Gutom ang mga bata sa barangay namin. Tulong po sa unresponsive staff!,Taglish,11/17/23,Region III
338,Nakakalungkot po ang condition ng public market sa cebu city,Taglish,11/6/23,NCR
339,I reported broken infrastructure weeks ago but no action taken. Disappointed.,English,7/17/24,Region VII
340,Thank you lgu for the business support! Small businesses can thrive,English,10/23/23,Region XI
341,Lgu services in maynila have improved significantly this year.,English,6/18/24,Region VII
342,Public evacuation center in bacolod is severely lacking. delayed response,English,5/22/24,Region IV-A
343,Thank you lgu for the business support! Children have better access to services,English,4/29/24,Region VII
